ID,Quote,Author,Submitted_By
1,An eye for an eye makes the whole world blind. , Gandhi,Jasthi
2,"Love For All, Hatred For None. ", Khalifatul Masih III,Jasthi
3,Change the world by being yourself. , Amy Poehler,Jasthi
4,Every moment is a fresh beginning. , T.S Eliot,Jasthi
5,Never regret anything that made you smile. , Mark Twain,Jasthi
6,"Die with memories, not dreams. ", Unknown,Jasthi
7,Aspire to inspire before we expire. , Unknown,Jasthi
8,Everything you can imagine is real. , Pablo Picasso,Jasthi
9,Simplicity is the ultimate sophistication. , Leonardo da Vinci,Jasthi
10,"Whatever you do, do it well. ", Walt Disney,Jasthi
11,"What we think, we become. ", Buddha,Jasthi
12,All limitations are self-imposed. , Oliver Wendell Holmes,Jasthi
13,Tough times never last but tough people do. , Robert H. Schiuller,Jasthi
14,"Problems are not stop signs, they are guidelines. ", Robert H. Schiuller,Jasthi
15,One day the people that don’t even believe in you will tell everyone how they met you. , Johnny Depp,Jasthi
16,"If I’m gonna tell a real story, I’m gonna start with my name. ", Kendrick Lamar,Jasthi
17,If you tell the truth you don’t have to remember anything. , Mark Twain,Jasthi
18,Have enough courage to start and enough heart to finish. , Jessica N. S. Yourko,Jasthi
19,"Hate comes from intimidation, love comes from appreciation. ", Tyga,Jasthi
20,I could agree with you but then we’d both be wrong. , Harvey Specter,Jasthi
21,"Oh, the things you can find, if you don’t stay behind. ", Dr. Seuss,Jasthi
22,Determine your priorities and focus on them. , Eileen McDargh,Jasthi
23,Be so good they can’t ignore you. , Steve Martin,Jasthi
24,"Dream as if you’ll live forever, live as if you’ll die today. ", James Dean,Jasthi
25,Yesterday you said tomorrow. Just do it. , Nike,Jasthi
26,"I don’t need it to be easy, I need it to be worth it. ", Lil Wayne,Jasthi
27,Never let your emotions overpower your intelligence. , Drake,Jasthi
28,Nothing lasts forever but at least we got these memories. , J. Cole,Jasthi
29,Don’t you know your imperfections is a blessing? , Kendrick Lamar,Jasthi
30,"Reality is wrong, dreams are for real. ", Tupac,Jasthi
31,To live will be an awfully big adventure. , Peter Pan,Jasthi
32,Try to be a rainbow in someone’s cloud. , Maya Angelou,Jasthi
33,There is no substitute for hard work. , Thomas Edison,Jasthi
34,What consumes your mind controls your life, Unknown,Jasthi
35,Strive for greatness. , Lebron James,Jasthi
36,Wanting to be someone else is a waste of who you are. , Kurt Cobain,Jasthi
37,"And still, I rise. ", Maya Angelou,Jasthi
38,The time is always right to do what is right. , Martin Luther King Jr.,Jasthi
39,Let the beauty of what you love be what you do. , Rumi,Jasthi
40,"May your choices reflect your hopes, not your fears. ", Nelson Mandela,Jasthi
41,A happy soul is the best shield for a cruel world. , Atticus,Jasthi
42,White is not always light and black is not always dark. , Habeeb Akande,Jasthi
43,Life becomes easier when you learn to accept the apology you never got. , R. Brault,Jasthi
44,Happiness depends upon ourselves. , Aristotle,Jasthi
45,Turn your wounds into wisdom. , Oprah Winfrey,Jasthi
46,"Change the game, don’t let the game change you. ", Macklemore,Jasthi
47,It hurt because it mattered. , John Green,Jasthi
48,If the world was blind how many people would you impress? , Boonaa Mohammed,Jasthi
49,"I will remember and recover, not forgive and forget. ", Unknown,Jasthi
50,The meaning of life is to give life meaning. , Ken Hudgins,Jasthi
51,"The true meaning of life is to plant trees, under whose shade you do not expect to sit. ", Nelson Henderson,Jasthi
52,"When words fail, music speaks. ", Shakespeare,Jasthi
53,Embrace the glorious mess that you are. , Elizabeth Gilbert,Jasthi
54,Normality is a paved road: it’s comfortable to walk but no flowers grow. , Vincent van Gogh,Jasthi
55,I have nothing to lose but something to gain. , Eminem,Jasthi